127.0.0.1 - - [21/Dec/2023:10:15:52 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Dec/2023:10:15:54 +0530] "GET /Employee_management/ HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [21/Dec/2023:10:15:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Dec/2023:10:16:06 +0530] "GET /Employee_management/Admin/Admin_dashboard.jsp HTTP/1.1" 200 14966
0:0:0:0:0:0:0:1 - - [21/Dec/2023:10:16:10 +0530] "GET /Employee_management/Admin/Employee_Section.jsp HTTP/1.1" 200 13920
0:0:0:0:0:0:0:1 - - [21/Dec/2023:10:16:11 +0530] "GET /Employee_management/Admin/Add_Employee.jsp HTTP/1.1" 200 17809
0:0:0:0:0:0:0:1 - - [21/Dec/2023:10:20:58 +0530] "GET /Employee_management/ HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [21/Dec/2023:10:21:10 +0530] "GET /Employee_management/Admin/Admin_dashboard.jsp HTTP/1.1" 200 14966
0:0:0:0:0:0:0:1 - - [21/Dec/2023:10:49:22 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 724
0:0:0:0:0:0:0:1 - - [21/Dec/2023:10:49:47 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:01:11 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:01:11 +0530] "GET /Employee_management/Image/cancel.png HTTP/1.1" 200 20386
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:10:40 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:10:40 +0530] "GET /Employee_management/Image/cancel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:10:47 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:11:03 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 960
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:20:52 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 988
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:20:52 +0530] "GET /Employee_management/Image/cancel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:21:25 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:21:42 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:21:57 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 959
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:22:13 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:22:36 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:22:54 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:23:05 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:23:13 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:35:40 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:35:40 +0530] "GET /Employee_management/Image/cancel.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:35:43 +0530] "GET /Employee_management/Error.jsp HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:36:36 +0530] "GET /Employee_management/ HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:36:43 +0530] "GET /Employee_management/Admin/Admin_dashboard.jsp HTTP/1.1" 200 14966
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:36:46 +0530] "GET /Employee_management/Logout? HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:36:46 +0530] "GET /Employee_management/Index.jsp HTTP/1.1" 200 6506
0:0:0:0:0:0:0:1 - - [21/Dec/2023:11:36:50 +0530] "GET /Employee_management/Admin/Admin_dashboard.jsp HTTP/1.1" 200 14966
