127.0.0.1 - - [04/Nov/2023:09:48:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Nov/2023:09:48:54 +0530] "GET /Employee_management/ HTTP/1.1" 200 24563
0:0:0:0:0:0:0:1 - - [04/Nov/2023:09:48:55 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Nov/2023:09:48:58 +0530] "GET /Employee_management/User_login.jsp HTTP/1.1" 200 4455
0:0:0:0:0:0:0:1 - - [04/Nov/2023:09:49:00 +0530] "GET /Employee_management/Index.jsp HTTP/1.1" 200 24563
0:0:0:0:0:0:0:1 - - [04/Nov/2023:09:49:02 +0530] "GET /Employee_management/User_login.jsp HTTP/1.1" 200 4455
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:22:02 +0530] "GET /Employee_management/User_login.jsp HTTP/1.1" 200 4455
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:22:02 +0530] "GET /Employee_management/User_login.jsp HTTP/1.1" 200 4455
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:22:02 +0530] "GET /Employee_management/User_login.jsp HTTP/1.1" 200 4455
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:22:18 +0530] "GET /Employee_management/User_login.jsp HTTP/1.1" 200 4455
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:22:19 +0530] "GET /Employee_management/Index.jsp HTTP/1.1" 200 24563
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:23:17 +0530] "GET /Employee_management/Index.jsp HTTP/1.1" 200 24563
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:23:17 +0530] "GET /Employee_management/Index.jsp HTTP/1.1" 200 24563
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:23:17 +0530] "GET /Employee_management/Index.jsp HTTP/1.1" 200 24563
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:23:18 +0530] "GET /Employee_management/Index.jsp HTTP/1.1" 200 24563
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:23:18 +0530] "GET /Employee_management/Index.jsp HTTP/1.1" 200 24563
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:23:25 +0530] "POST /Employee_management/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:23:27 +0530] "GET /Employee_management/demo.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:23:35 +0530] "GET /Employee_management/Index.jsp HTTP/1.1" 200 24563
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:23:35 +0530] "GET /Employee_management/Index.jsp HTTP/1.1" 200 24563
0:0:0:0:0:0:0:1 - - [04/Nov/2023:10:23:38 +0530] "GET /Employee_management/User_login.jsp HTTP/1.1" 200 4455
